timestamp,component,level
1777290849.3545349,DISCOVERY,INFO
1777291385.4316573,KERNEL,INFO
1777291778.0399683,MMCS,INFO
1777292316.7930553,KERNEL,WARNING
1777292884.3424308,APP,INFO
1777293300.0049653,DISCOVERY,INFO
1777293764.1883628,KERNEL,INFO
1777294275.4066293,MMCS,INFO
1777294645.0415347,HARDWARE,ERROR
1777295081.6748002,APP,INFO
1777305485.7197645,MMCS,WARNING
1777305577.528358,MMCS,WARNING
1777305588.5137794,DISCOVERY,INFO
1777305665.9417021,KERNEL,WARNING
1777305677.9407616,MMCS,INFO
1777305753.193854,HARDWARE,INFO
1777305835.8387337,MMCS,SEVERE
1777305873.8823843,MMCS,SEVERE
1777305945.5627453,DISCOVERY,FATAL
1777306010.0182636,DISCOVERY,INFO
1777314090.0044293,APP,INFO
1777314111.5131958,DISCOVERY,WARNING
1777314123.922466,MMCS,INFO
1777314151.9493225,HARDWARE,ERROR
1777314171.1100006,KERNEL,WARNING
1777314187.5617487,MMCS,INFO
1777314200.427809,KERNEL,WARNING
1777314258.4775217,MMCS,WARNING
1777314303.18189,HARDWARE,WARNING
1777314357.8435326,HARDWARE,WARNING
1777320110.9567995,APP,FATAL
1777320125.4580808,KERNEL,FATAL
1777320151.4856946,DISCOVERY,FATAL
1777320490.785374,APP,FATAL
1777320985.535939,KERNEL,FATAL
1777321398.058099,APP,SEVERE
1777321858.4878595,KERNEL,SEVERE
1777321884.7244625,MMCS,SEVERE
1777322323.634377,DISCOVERY,FATAL
1777322369.584745,HARDWARE,SEVERE
1777332905.5056944,APP,ERROR
1777333432.1225681,HARDWARE,INFO
1777333879.3075635,KERNEL,WARNING
1777334380.0322883,KERNEL,INFO
1777334761.5345395,KERNEL,INFO
1777335217.698985,MMCS,SEVERE
1777335677.0799367,DISCOVERY,INFO
1777335987.1852212,KERNEL,WARNING
1777336423.1583276,DISCOVERY,INFO
1777336980.121235,HARDWARE,INFO
1777346536.8300817,DISCOVERY,SEVERE
1777346617.0145187,MMCS,INFO
1777346700.5845227,APP,INFO
1777346788.0134816,DISCOVERY,INFO
1777346881.2819278,APP,INFO
1777346946.7359545,DISCOVERY,ERROR
1777346997.2810528,APP,INFO
1777347037.7263355,DISCOVERY,SEVERE
1777347044.6630166,KERNEL,FATAL
1777347073.4868712,MMCS,INFO
1777357259.6205037,APP,WARNING
1777357314.456573,APP,ERROR
1777357337.503544,APP,ERROR
1777357379.0800607,DISCOVERY,INFO
1777357400.939758,APP,ERROR
1777357483.6375613,APP,WARNING
1777357533.4636562,KERNEL,ERROR
1777357604.051514,APP,WARNING
1777357627.6488762,KERNEL,WARNING
1777357668.4572532,DISCOVERY,WARNING
1777368327.6550233,KERNEL,INFO
1777368366.7625806,KERNEL,ERROR
1777368421.6117916,MMCS,WARNING
1777368434.2330136,HARDWARE,ERROR
1777368461.3853424,HARDWARE,ERROR
1777368534.6190548,MMCS,WARNING
1777368543.658362,DISCOVERY,INFO
1777368632.949558,KERNEL,ERROR
1777368667.9362755,APP,INFO
1777368747.9559002,APP,ERROR
1777378936.8445497,KERNEL,INFO
1777379281.614097,APP,INFO
1777379855.4014428,KERNEL,WARNING
1777380316.9932983,MMCS,WARNING
1777380844.315297,MMCS,ERROR
1777381234.0132005,DISCOVERY,WARNING
1777381776.3923395,DISCOVERY,WARNING
1777382359.9336283,MMCS,INFO
1777382663.3753319,KERNEL,INFO
1777382983.7435863,APP,INFO
1777390726.9781737,APP,INFO
1777391224.6452076,HARDWARE,ERROR
1777391722.5424316,HARDWARE,SEVERE
1777392114.9802015,MMCS,INFO
1777392636.8880415,HARDWARE,INFO
1777393098.1664085,APP,INFO
1777393494.9447496,KERNEL,WARNING
1777393853.687556,KERNEL,INFO
1777394190.6559637,APP,INFO
1777394775.891618,MMCS,WARNING
1777400696.9080641,HARDWARE,WARNING
1777400791.6730404,HARDWARE,INFO
1777400803.0818422,HARDWARE,INFO
1777400808.0812032,HARDWARE,SEVERE
1777400821.3477936,KERNEL,SEVERE
1777400872.5189903,KERNEL,INFO
1777400921.8240838,APP,INFO
1777400923.1147964,APP,WARNING
1777401015.1999257,APP,WARNING
1777401099.2198443,APP,SEVERE
1777407098.8575468,DISCOVERY,ERROR
1777407194.7636404,DISCOVERY,WARNING
1777407243.5558646,APP,WARNING
1777407291.8848495,HARDWARE,WARNING
1777407349.6632473,APP,INFO
1777407428.695015,HARDWARE,ERROR
1777407471.215728,KERNEL,ERROR
1777407561.0923412,MMCS,INFO
1777407628.038873,APP,ERROR
1777407664.7818923,HARDWARE,INFO
1777413049.1983674,APP,INFO
1777413051.110899,HARDWARE,INFO
1777413077.0514624,KERNEL,WARNING
1777413147.4908648,MMCS,INFO
1777413169.1354516,DISCOVERY,INFO
1777413255.5972862,MMCS,ERROR
1777413263.340657,KERNEL,FATAL
1777413314.6251326,MMCS,SEVERE
1777413328.7776225,DISCOVERY,INFO
1777413387.4682906,APP,INFO
1777419414.489579,DISCOVERY,INFO
1777419912.1382089,KERNEL,INFO
1777420294.8109934,KERNEL,ERROR
1777420660.5863879,DISCOVERY,WARNING
1777421091.6397874,DISCOVERY,SEVERE
1777421510.715764,MMCS,INFO
1777421826.4407105,APP,WARNING
1777422375.1073327,APP,INFO
1777422926.478349,HARDWARE,SEVERE
1777423282.9332392,KERNEL,WARNING
1777429033.856855,KERNEL,ERROR
1777429130.5272326,KERNEL,INFO
1777429176.3592443,APP,WARNING
1777429230.4364316,DISCOVERY,WARNING
1777429286.6249983,DISCOVERY,INFO
1777429347.269191,KERNEL,INFO
1777429409.1749194,KERNEL,ERROR
1777429485.6593623,HARDWARE,INFO
1777429561.5605056,HARDWARE,WARNING
1777429583.064659,KERNEL,WARNING
1777435838.911993,KERNEL,WARNING
1777436348.7765489,HARDWARE,INFO
1777436897.9140503,DISCOVERY,INFO
1777437390.4240446,KERNEL,WARNING
1777437799.6038163,APP,INFO
