timestamp,component,level
1777301140.039937,HARDWARE,WARNING
1777301144.557041,MMCS,FATAL
1777301241.0868707,MMCS,FATAL
1777301260.6641693,APP,INFO
1777301278.4414167,DISCOVERY,ERROR
1777301287.448488,MMCS,INFO
1777301296.424695,MMCS,ERROR
1777301314.6216252,HARDWARE,WARNING
1777301333.8410754,MMCS,INFO
1777301344.003392,MMCS,WARNING
1777309854.5275874,HARDWARE,ERROR
1777309861.8192182,APP,INFO
1777309875.0017283,DISCOVERY,ERROR
1777309891.8707018,KERNEL,WARNING
1777309905.1066267,HARDWARE,INFO
1777309923.442567,MMCS,WARNING
1777309928.8749475,KERNEL,SEVERE
1777310013.6065154,HARDWARE,WARNING
1777310097.209489,APP,ERROR
1777310180.3821099,KERNEL,FATAL
1777315980.7008977,DISCOVERY,WARNING
1777315989.5465322,DISCOVERY,INFO
1777315995.9449558,HARDWARE,FATAL
1777316032.8594828,DISCOVERY,WARNING
1777316067.9924083,MMCS,WARNING
1777316104.1775107,HARDWARE,SEVERE
1777316140.577921,HARDWARE,SEVERE
1777316152.5858233,MMCS,WARNING
1777316168.7735996,DISCOVERY,ERROR
1777316182.8091617,DISCOVERY,ERROR
1777328171.3361309,MMCS,FATAL
1777328284.671667,APP,ERROR
1777328398.0027182,MMCS,SEVERE
1777328405.190779,HARDWARE,INFO
1777328423.762476,HARDWARE,WARNING
1777328427.581568,KERNEL,INFO
1777328442.8251908,KERNEL,WARNING
1777328447.320631,MMCS,INFO
1777328456.204804,HARDWARE,INFO
1777328463.708605,APP,INFO
1777342675.5186336,APP,INFO
1777342694.6678958,DISCOVERY,INFO
1777342698.680811,MMCS,INFO
1777342700.9838772,KERNEL,SEVERE
1777342705.568287,APP,INFO
1777342712.1154647,KERNEL,WARNING
1777342719.6239655,KERNEL,SEVERE
1777342729.1136563,KERNEL,INFO
1777342734.0037086,HARDWARE,WARNING
1777342742.403037,HARDWARE,WARNING
1777353015.7638206,APP,ERROR
1777353018.3411543,MMCS,ERROR
1777353020.5472894,KERNEL,INFO
1777353028.5482073,DISCOVERY,WARNING
1777353045.82962,MMCS,ERROR
1777353054.0471292,HARDWARE,WARNING
1777353061.633718,MMCS,FATAL
1777353284.0960476,MMCS,FATAL
1777353291.0978236,KERNEL,WARNING
1777353302.5630882,MMCS,ERROR
1777363923.079511,APP,WARNING
1777363938.9655159,HARDWARE,ERROR
1777363941.7019792,DISCOVERY,INFO
1777363947.275341,APP,WARNING
1777363966.1309252,KERNEL,ERROR
1777363971.646697,HARDWARE,SEVERE
1777364202.160652,HARDWARE,FATAL
1777364218.290538,APP,INFO
1777364228.8428788,MMCS,WARNING
1777364243.7362387,DISCOVERY,INFO
1777374610.682835,APP,ERROR
1777374612.4165,MMCS,WARNING
1777374623.3370159,KERNEL,WARNING
1777374629.1407793,MMCS,ERROR
1777374632.1477385,KERNEL,SEVERE
1777374670.1502032,KERNEL,SEVERE
1777374672.202919,KERNEL,ERROR
1777374685.24657,DISCOVERY,WARNING
1777374689.9579046,MMCS,ERROR
1777374692.5308993,KERNEL,WARNING
1777386496.880421,HARDWARE,WARNING
1777386498.5642545,APP,ERROR
1777386505.7056198,KERNEL,ERROR
1777386513.882793,APP,ERROR
1777386517.371821,MMCS,INFO
1777386520.0726085,KERNEL,INFO
1777386534.510815,HARDWARE,WARNING
1777386539.7379606,MMCS,SEVERE
1777386571.9782135,DISCOVERY,INFO
1777386604.2073295,MMCS,FATAL
1777396618.9022355,KERNEL,WARNING
1777396632.5283554,KERNEL,ERROR
1777396646.6399245,DISCOVERY,ERROR
1777396649.4228492,DISCOVERY,INFO
1777396663.6969314,HARDWARE,WARNING
1777396674.6861067,DISCOVERY,ERROR
1777396680.6236024,MMCS,SEVERE
1777396742.298685,KERNEL,ERROR
1777396802.9691186,MMCS,SEVERE
1777396812.88839,DISCOVERY,WARNING
1777403020.8324137,DISCOVERY,SEVERE
