timestamp,component,level
1777371219.2753282,DISCOVERY,ERROR
1777371234.1463146,HARDWARE,WARNING
1777371250.072555,APP,INFO
1777371257.3023643,APP,SEVERE
1777371327.4785793,APP,INFO
1777371395.440037,APP,ERROR
1777371463.6655347,APP,SEVERE
1777371483.371131,APP,WARNING
1777371492.9839072,DISCOVERY,WARNING
1777371506.8605852,DISCOVERY,WARNING
1777377658.035183,APP,WARNING
1777377664.6836355,KERNEL,SEVERE
1777377683.502307,KERNEL,WARNING
1777377702.7940342,KERNEL,INFO
1777377723.4476118,MMCS,ERROR
1777377745.5857785,KERNEL,INFO
1777377766.508237,KERNEL,FATAL
1777377787.0384247,KERNEL,ERROR
1777377809.5546765,KERNEL,INFO
1777377830.2348442,KERNEL,SEVERE
1777383861.0162694,MMCS,SEVERE
1777383881.1941967,HARDWARE,ERROR
1777383901.4641755,MMCS,SEVERE
1777383918.8869042,APP,ERROR
1777383924.8118567,DISCOVERY,ERROR
1777383935.0938244,KERNEL,WARNING
1777383949.8996546,DISCOVERY,ERROR
1777383963.4241014,HARDWARE,INFO
1777383970.849848,APP,WARNING
1777383984.8146138,MMCS,ERROR
1777393871.5787716,APP,WARNING
1777393880.9461238,HARDWARE,ERROR
1777393888.5263233,APP,WARNING
1777393895.8408701,KERNEL,INFO
1777393914.8157513,HARDWARE,INFO
1777393924.227254,KERNEL,ERROR
1777393932.840514,KERNEL,WARNING
1777393938.0433135,MMCS,WARNING
1777393941.007091,KERNEL,FATAL
1777394137.0733628,KERNEL,SEVERE
1777406482.0080717,DISCOVERY,ERROR
1777406483.460389,HARDWARE,INFO
1777406492.4229631,KERNEL,WARNING
1777406511.4846306,HARDWARE,ERROR
1777406519.108798,MMCS,WARNING
1777406536.7984626,APP,ERROR
1777406551.4204805,DISCOVERY,WARNING
1777406558.0721562,DISCOVERY,SEVERE
1777406675.0083053,DISCOVERY,SEVERE
1777406684.3869085,APP,ERROR
1777412845.1927805,KERNEL,INFO
1777412864.732726,KERNEL,ERROR
1777412868.3858418,HARDWARE,SEVERE
1777412900.6423895,APP,ERROR
1777412930.8835087,HARDWARE,INFO
1777412962.3373868,MMCS,INFO
1777412994.375865,KERNEL,ERROR
1777413025.4610093,HARDWARE,FATAL
1777413058.6066077,HARDWARE,SEVERE
1777413074.0202215,HARDWARE,WARNING
1777420611.3370159,MMCS,ERROR
1777420622.927838,HARDWARE,INFO
1777420639.0015118,APP,INFO
1777420642.631953,HARDWARE,FATAL
1777420849.1641343,HARDWARE,SEVERE
1777420851.4105945,KERNEL,ERROR
1777420865.3446436,KERNEL,ERROR
1777420870.824563,HARDWARE,WARNING
1777420888.5164278,MMCS,ERROR
1777420903.02792,APP,ERROR
1777427119.0288358,APP,WARNING
1777427138.8028874,KERNEL,INFO
1777427158.0974057,APP,INFO
1777427177.1507926,MMCS,ERROR
1777427180.4387088,DISCOVERY,WARNING
1777427199.9383807,KERNEL,WARNING
1777427207.3346865,HARDWARE,INFO
1777427211.9718065,HARDWARE,SEVERE
1777427322.0899699,HARDWARE,WARNING
1777427430.4406393,HARDWARE,SEVERE
1777433777.9517052,KERNEL,WARNING
1777433782.8121974,APP,INFO
1777433793.4573267,KERNEL,WARNING
1777433794.7639313,KERNEL,INFO
1777433800.3726451,HARDWARE,INFO
1777433808.5853796,MMCS,ERROR
1777433826.1208026,APP,INFO
1777433833.3011243,APP,FATAL
1777434042.4189105,APP,SEVERE
1777434061.9370704,MMCS,WARNING
1777443462.289606,APP,INFO
1777443475.567682,MMCS,WARNING
1777443477.262251,APP,ERROR
1777443490.1166425,HARDWARE,WARNING
1777443499.9077392,MMCS,INFO
1777443510.8232563,HARDWARE,WARNING
1777443515.9716249,MMCS,ERROR
1777443520.8893661,DISCOVERY,FATAL
1777443649.2137485,DISCOVERY,FATAL
1777443661.0868533,DISCOVERY,WARNING
1777449513.6799767,MMCS,WARNING
1777449521.7989862,APP,FATAL
1777449569.6273677,APP,SEVERE
1777449589.239834,KERNEL,WARNING
1777449604.0074327,MMCS,ERROR
1777449622.4200602,KERNEL,WARNING
1777449641.4191144,APP,ERROR
1777449645.811594,HARDWARE,ERROR
1777449648.345117,APP,WARNING
1777449658.2732913,HARDWARE,WARNING
1777455126.5980015,KERNEL,INFO
1777455134.6832962,HARDWARE,ERROR
1777455141.3626378,DISCOVERY,INFO
1777455152.5048165,DISCOVERY,WARNING
1777455170.6538124,APP,ERROR
1777455183.0873878,HARDWARE,WARNING
1777455191.706543,MMCS,WARNING
1777455206.4982262,APP,WARNING
1777455212.8015316,MMCS,SEVERE
1777455339.8227713,MMCS,SEVERE
1777465092.0641255,HARDWARE,INFO
1777465101.1051657,KERNEL,ERROR
1777465103.1355178,APP,INFO
1777465108.4681828,APP,INFO
1777465116.9849868,HARDWARE,SEVERE
1777465166.5739644,HARDWARE,FATAL
1777465172.2405448,MMCS,ERROR
1777465174.454728,KERNEL,WARNING
1777465181.7769723,MMCS,ERROR
1777465199.722942,HARDWARE,INFO
1777475249.285105,DISCOVERY,INFO
1777475251.119779,MMCS,FATAL
1777475277.6679816,HARDWARE,WARNING
1777475306.9594593,MMCS,FATAL
1777475332.8625586,APP,WARNING
1777475359.1697402,MMCS,ERROR
1777475385.5459654,MMCS,INFO
1777475411.3875692,MMCS,SEVERE
1777475417.2199252,MMCS,ERROR
1777475434.26954,KERNEL,ERROR
1777481536.3803618,MMCS,WARNING
1777481542.5208428,APP,SEVERE
1777481585.4986017,DISCOVERY,INFO
1777481627.150238,APP,SEVERE
1777481669.4500892,KERNEL,WARNING
