timestamp,component,level
1777303611.5010633,APP,FATAL
1777303623.9917214,KERNEL,WARNING
1777303639.2676954,MMCS,WARNING
1777303658.3652647,KERNEL,FATAL
1777303662.8877778,DISCOVERY,SEVERE
1777303726.3512766,KERNEL,WARNING
1777303790.6502945,HARDWARE,FATAL
1777303853.8736694,DISCOVERY,SEVERE
1777303869.2394292,HARDWARE,FATAL
1777303877.6139877,MMCS,WARNING
1777312436.3608105,KERNEL,INFO
1777312437.652669,APP,ERROR
1777312444.596098,MMCS,SEVERE
1777312472.4421022,HARDWARE,WARNING
1777312503.4019687,DISCOVERY,ERROR
1777312531.8391545,KERNEL,WARNING
1777312560.595425,MMCS,INFO
1777312590.3827686,MMCS,WARNING
1777312618.0705523,MMCS,SEVERE
1777312627.9941986,MMCS,WARNING
1777318269.0913157,HARDWARE,INFO
1777318282.5644314,DISCOVERY,WARNING
1777318297.0656948,APP,WARNING
1777318303.3253207,KERNEL,ERROR
1777318319.869498,APP,ERROR
1777318325.7161057,KERNEL,ERROR
1777318332.9485357,APP,FATAL
1777318606.1151361,APP,FATAL
1777318616.3040113,MMCS,WARNING
1777318618.961469,MMCS,INFO
1777330765.4110599,MMCS,SEVERE
1777330797.3102145,MMCS,ERROR
1777330827.2969449,APP,INFO
1777330860.4304256,HARDWARE,INFO
1777330890.8203278,DISCOVERY,ERROR
1777330922.9478178,MMCS,INFO
1777330956.4424915,APP,INFO
1777330988.4835968,HARDWARE,ERROR
1777331020.9953191,HARDWARE,ERROR
1777331054.5312352,MMCS,FATAL
1777345026.5605738,MMCS,ERROR
1777345035.755294,MMCS,INFO
1777345040.037981,DISCOVERY,SEVERE
1777345043.4934099,MMCS,SEVERE
1777345077.6244862,KERNEL,WARNING
1777345114.496197,KERNEL,SEVERE
1777345150.2302287,HARDWARE,WARNING
1777345186.9607983,APP,WARNING
1777345224.3655887,MMCS,SEVERE
1777345228.6434479,HARDWARE,WARNING
1777355578.0405536,MMCS,ERROR
1777355587.0482857,APP,SEVERE
1777355629.6059062,DISCOVERY,WARNING
1777355673.1330857,HARDWARE,ERROR
1777355716.4773905,DISCOVERY,SEVERE
1777355759.3513145,APP,FATAL
1777355761.2404225,HARDWARE,WARNING
1777355779.3163764,HARDWARE,SEVERE
1777355788.0546045,APP,ERROR
1777355805.696486,MMCS,INFO
1777366448.122735,HARDWARE,SEVERE
1777366523.0277174,DISCOVERY,INFO
1777366597.196615,HARDWARE,WARNING
1777366671.992965,MMCS,WARNING
1777366748.2376282,HARDWARE,FATAL
1777366755.571444,KERNEL,INFO
1777366765.1048422,KERNEL,INFO
1777366773.826484,APP,ERROR
1777366789.1710064,MMCS,WARNING
1777366807.2734828,DISCOVERY,WARNING
1777376992.5392382,APP,WARNING
1777376999.535164,KERNEL,ERROR
1777377001.103444,MMCS,FATAL
1777377012.935642,MMCS,WARNING
1777377027.3987122,HARDWARE,INFO
1777377040.2826834,KERNEL,WARNING
1777377054.7345219,KERNEL,INFO
1777377066.9641461,KERNEL,WARNING
1777377080.158246,MMCS,SEVERE
1777377084.778217,MMCS,WARNING
1777388834.6991217,HARDWARE,SEVERE
1777388900.192926,APP,INFO
1777388967.47631,HARDWARE,FATAL
1777388984.476999,MMCS,ERROR
1777388985.6588433,DISCOVERY,WARNING
1777388988.8848927,KERNEL,WARNING
1777389004.8958614,DISCOVERY,INFO
1777389012.6006026,KERNEL,ERROR
1777389015.8343,HARDWARE,INFO
1777389027.8254008,DISCOVERY,WARNING
1777398970.3567998,KERNEL,INFO
1777398973.234301,KERNEL,ERROR
1777398982.270621,APP,INFO
1777398985.0827496,KERNEL,FATAL
1777399003.2622716,DISCOVERY,SEVERE
1777399007.6871018,HARDWARE,SEVERE
1777399211.7504616,HARDWARE,SEVERE
1777399229.0461054,KERNEL,WARNING
1777399244.3932493,MMCS,ERROR
1777399263.8431852,APP,SEVERE
1777405408.6880832,APP,SEVERE
1777405432.7168083,DISCOVERY,ERROR
1777405456.1888494,HARDWARE,ERROR
1777405482.2705057,KERNEL,WARNING
1777405506.1227214,KERNEL,INFO
1777405529.0393827,APP,INFO
1777405553.572875,HARDWARE,INFO
1777405578.8705542,APP,FATAL
1777405583.2083688,KERNEL,ERROR
1777405594.9138548,KERNEL,WARNING
1777411414.6279016,MMCS,INFO
1777411422.9811,APP,FATAL
1777411429.5773017,APP,ERROR
1777411436.4658496,MMCS,INFO
1777411445.4378319,KERNEL,WARNING
1777411453.459908,APP,INFO
1777411458.5418782,HARDWARE,WARNING
1777411466.9225254,KERNEL,INFO
1777411474.7153106,APP,FATAL
1777411481.8244865,APP,INFO
1777417603.0684154,KERNEL,WARNING
1777417607.8303704,DISCOVERY,ERROR
1777417612.4121819,HARDWARE,SEVERE
1777417616.6874254,DISCOVERY,SEVERE
1777417621.262442,HARDWARE,INFO
1777417626.003781,KERNEL,FATAL
1777417631.9613197,KERNEL,SEVERE
1777417638.5027874,HARDWARE,FATAL
1777417648.4034288,DISCOVERY,SEVERE
1777417666.4296355,DISCOVERY,WARNING
1777427423.7655966,KERNEL,FATAL
1777427433.1031802,APP,ERROR
1777427442.30871,KERNEL,ERROR
1777427451.9972215,DISCOVERY,INFO
1777427460.746565,MMCS,INFO
1777427468.7286775,HARDWARE,ERROR
1777427475.9700553,APP,WARNING
1777427485.5277445,KERNEL,FATAL
1777427498.323886,KERNEL,ERROR
1777427511.6560524,HARDWARE,ERROR
1777433921.718665,KERNEL,INFO
1777433928.469405,HARDWARE,ERROR
1777433932.9039986,APP,ERROR
1777433945.6227667,APP,INFO
1777433950.7533288,DISCOVERY,SEVERE
1777434020.838343,KERNEL,INFO
1777434092.8315964,APP,INFO
1777434162.153289,APP,INFO
1777434234.5308166,DISCOVERY,SEVERE
1777434241.7325497,APP,WARNING
1777444061.4880006,DISCOVERY,INFO
1777444064.756929,DISCOVERY,INFO
1777444068.6461203,DISCOVERY,SEVERE
1777444098.4708576,MMCS,WARNING
1777444127.6361024,HARDWARE,INFO
1777444156.811306,APP,WARNING
1777444186.6117547,KERNEL,INFO
1777444218.059994,DISCOVERY,SEVERE
1777444236.9944448,DISCOVERY,ERROR
1777444250.8788793,APP,WARNING
1777449995.2771206,MMCS,ERROR
1777450011.854432,APP,WARNING
1777450012.9624472,APP,WARNING
1777450014.1356494,DISCOVERY,SEVERE
1777450032.7178597,APP,WARNING
1777450048.3587518,HARDWARE,SEVERE
1777450064.6283007,HARDWARE,WARNING
1777450082.0552232,MMCS,ERROR
1777450097.746837,KERNEL,FATAL
1777450113.7669678,DISCOVERY,FATAL
1777457717.5326333,HARDWARE,ERROR
1777457726.15973,KERNEL,SEVERE
1777457739.8318033,KERNEL,INFO
1777457754.8626876,HARDWARE,INFO
1777457772.1357841,HARDWARE,WARNING
1777457786.9321728,MMCS,INFO
1777457802.8165872,KERNEL,ERROR
1777457818.686871,MMCS,ERROR
1777457835.8250904,KERNEL,INFO
1777457850.0283625,KERNEL,FATAL
1777468417.5306764,KERNEL,SEVERE
1777468515.9731755,HARDWARE,WARNING
1777468613.6448307,HARDWARE,ERROR
1777468710.6839242,KERNEL,FATAL
1777468719.4580073,DISCOVERY,ERROR
1777468733.4877727,DISCOVERY,ERROR
1777468747.5629716,APP,WARNING
1777468751.4155538,DISCOVERY,INFO
1777468771.3902786,MMCS,ERROR
1777468786.8721187,MMCS,WARNING
1777476182.1826086,HARDWARE,INFO
1777476194.7842429,MMCS,WARNING
1777476214.3351023,HARDWARE,WARNING
1777476217.918876,HARDWARE,ERROR
1777476226.3034723,HARDWARE,SEVERE
1777476238.333883,APP,WARNING
1777476250.265321,MMCS,WARNING
1777476258.5597441,HARDWARE,FATAL
1777476260.7512796,APP,WARNING
1777476263.1675334,DISCOVERY,WARNING
1777482258.0618303,DISCOVERY,SEVERE
1777482399.172663,HARDWARE,WARNING
1777482540.7399657,DISCOVERY,SEVERE
1777482552.3059733,KERNEL,ERROR
1777482554.587035,MMCS,INFO
1777482566.0458302,DISCOVERY,INFO
1777482577.0823808,DISCOVERY,INFO
1777482594.9295611,HARDWARE,INFO
1777482598.758581,DISCOVERY,INFO
1777482616.23782,KERNEL,ERROR
1777490927.6243918,KERNEL,WARNING
1777490929.7937825,DISCOVERY,WARNING
1777490937.995224,HARDWARE,SEVERE
1777490947.254633,DISCOVERY,INFO
1777490957.995449,MMCS,INFO
1777490966.7137132,HARDWARE,WARNING
1777490975.8617136,APP,SEVERE
1777490986.3646793,KERNEL,SEVERE
1777490996.3177943,HARDWARE,FATAL
1777491014.3265336,DISCOVERY,ERROR
1777501735.0027583,DISCOVERY,WARNING
1777501750.889262,DISCOVERY,ERROR
1777501762.9317596,APP,ERROR
1777501771.0652115,APP,WARNING
1777501788.7970495,MMCS,WARNING
1777501805.475156,APP,INFO
1777501810.2160313,KERNEL,WARNING
1777501813.143979,HARDWARE,INFO
1777501816.7136478,HARDWARE,SEVERE
1777501914.4131272,HARDWARE,FATAL
1777508107.5365188,HARDWARE,FATAL
1777508116.9427722,DISCOVERY,FATAL
1777508124.280007,MMCS,ERROR
1777508131.7150123,HARDWARE,ERROR
1777508139.6758792,MMCS,SEVERE
1777508145.8076813,MMCS,INFO
1777508154.74344,MMCS,SEVERE
1777508163.3105204,HARDWARE,SEVERE
1777508175.0300906,DISCOVERY,INFO
1777508185.3642507,MMCS,ERROR
1777521935.7745855,APP,FATAL
1777521952.479051,APP,WARNING
1777521969.8061132,DISCOVERY,INFO
1777521983.9921973,APP,SEVERE
1777522000.077026,DISCOVERY,ERROR
1777522017.3400993,APP,INFO
1777522032.5789053,HARDWARE,WARNING
1777522048.5885339,APP,ERROR
1777522064.438785,APP,SEVERE
1777522067.8239105,HARDWARE,INFO
1777528013.7615528,APP,INFO
1777528018.2005856,DISCOVERY,FATAL
1777528161.490196,APP,ERROR
1777528305.5819757,DISCOVERY,SEVERE
1777528317.8512683,HARDWARE,INFO
1777528334.293355,DISCOVERY,ERROR
1777528343.805721,APP,WARNING
1777528352.7480023,MMCS,INFO
1777528356.5390372,APP,WARNING
1777528360.1863024,MMCS,INFO
1777534569.591523,DISCOVERY,INFO
1777534572.7637484,HARDWARE,SEVERE
1777534626.843523,DISCOVERY,ERROR
1777534680.8199468,KERNEL,WARNING
1777534734.991771,KERNEL,ERROR
1777534790.3390937,DISCOVERY,INFO
1777534843.0570288,HARDWARE,SEVERE
1777534844.9309077,MMCS,INFO
1777534853.1370578,HARDWARE,WARNING
1777534863.2534988,DISCOVERY,WARNING
1777544433.5956707,DISCOVERY,ERROR
1777544440.863091,MMCS,INFO
1777544455.234544,APP,INFO
1777544465.0804658,DISCOVERY,ERROR
1777544467.0397556,MMCS,SEVERE
1777544558.97556,DISCOVERY,INFO
1777544650.0158064,HARDWARE,ERROR
1777544738.664748,MMCS,FATAL
1777544741.2240646,KERNEL,ERROR
1777544749.1553895,HARDWARE,ERROR
1777554429.8493798,MMCS,ERROR
1777554433.6174638,DISCOVERY,SEVERE
1777554454.0451674,DISCOVERY,ERROR
1777554476.1522453,KERNEL,INFO
1777554499.8563054,DISCOVERY,INFO
1777554520.619729,KERNEL,WARNING
1777554541.7607036,DISCOVERY,INFO
1777554562.8392794,HARDWARE,INFO
1777554586.4520268,HARDWARE,ERROR
1777554607.5856907,DISCOVERY,SEVERE
1777562692.2352855,DISCOVERY,WARNING
1777562694.2889543,HARDWARE,WARNING
1777562696.1904514,KERNEL,INFO
1777562706.5784674,HARDWARE,WARNING
1777562709.383167,DISCOVERY,WARNING
1777562726.4376478,DISCOVERY,INFO
1777562728.9554923,HARDWARE,FATAL
1777562738.2965217,HARDWARE,INFO
1777562749.713109,HARDWARE,SEVERE
1777562752.383088,HARDWARE,ERROR
1777573055.7991273,KERNEL,ERROR
1777573071.990594,APP,ERROR
1777573081.3691053,HARDWARE,WARNING
1777573090.9176545,KERNEL,SEVERE
1777573102.9577985,KERNEL,FATAL
1777573117.6450734,DISCOVERY,WARNING
1777573132.9721582,HARDWARE,ERROR
1777573144.4942465,KERNEL,WARNING
1777573158.0350988,KERNEL,FATAL
