timestamp,component,level
1777372115.1381965,KERNEL,WARNING
1777372133.2654657,MMCS,INFO
1777372153.0077934,HARDWARE,ERROR
1777372155.656544,MMCS,WARNING
1777372160.615002,KERNEL,ERROR
1777372164.0544748,MMCS,SEVERE
1777372243.4482296,APP,WARNING
1777372321.2693856,MMCS,FATAL
1777372334.9133887,DISCOVERY,ERROR
1777372343.6452177,DISCOVERY,FATAL
1777378443.1278105,MMCS,INFO
1777378448.162394,APP,FATAL
1777378450.815335,DISCOVERY,INFO
1777378452.0487175,MMCS,WARNING
1777378453.643428,HARDWARE,WARNING
1777378456.0987542,MMCS,INFO
1777378457.449742,APP,ERROR
1777378461.190336,DISCOVERY,WARNING
1777378464.8319237,KERNEL,WARNING
1777378468.4427605,APP,FATAL
1777384604.4806886,HARDWARE,ERROR
1777384609.9262917,DISCOVERY,WARNING
1777384622.0846508,KERNEL,ERROR
1777384638.5120707,MMCS,WARNING
1777384657.8439262,DISCOVERY,WARNING
1777384670.5610518,KERNEL,ERROR
1777384686.8327522,DISCOVERY,ERROR
1777384691.6360693,APP,FATAL
1777384775.8129056,MMCS,INFO
1777384857.2578783,APP,SEVERE
1777394743.3467758,MMCS,WARNING
1777394749.0958216,APP,SEVERE
1777394771.9205751,DISCOVERY,INFO
1777394795.9721305,MMCS,WARNING
1777394817.5239937,APP,WARNING
1777394840.256732,APP,WARNING
1777394863.645036,MMCS,INFO
1777394886.577178,KERNEL,WARNING
1777394909.4549189,APP,WARNING
1777394930.7411525,APP,SEVERE
1777407294.373316,DISCOVERY,FATAL
1777407343.0468152,DISCOVERY,ERROR
1777407392.099506,KERNEL,INFO
1777407441.8864567,DISCOVERY,SEVERE
1777407459.5443702,APP,INFO
1777407478.370611,APP,ERROR
1777407497.369017,DISCOVERY,WARNING
1777407513.2089226,KERNEL,INFO
1777407515.6316924,DISCOVERY,ERROR
1777407529.1882598,MMCS,ERROR
1777413681.5942893,KERNEL,INFO
1777413698.226521,KERNEL,INFO
1777413710.912611,APP,WARNING
1777413712.9015026,DISCOVERY,ERROR
1777413730.7352242,DISCOVERY,WARNING
1777413733.2397926,APP,ERROR
1777413740.607048,MMCS,FATAL
1777413787.0750065,MMCS,FATAL
1777413795.5497098,DISCOVERY,WARNING
1777413802.885261,KERNEL,INFO
1777421518.2473476,DISCOVERY,INFO
1777421524.080873,HARDWARE,FATAL
1777421542.113454,HARDWARE,ERROR
1777421561.2226665,APP,INFO
1777421579.2367878,APP,INFO
1777421597.7437027,HARDWARE,WARNING
1777421616.534448,MMCS,WARNING
1777421634.9900634,HARDWARE,WARNING
1777421651.9573898,HARDWARE,SEVERE
1777421662.3070989,MMCS,ERROR
1777428044.7023928,HARDWARE,WARNING
1777428046.7872446,DISCOVERY,ERROR
1777428054.9330204,APP,INFO
1777428060.7060983,DISCOVERY,WARNING
1777428070.1163847,DISCOVERY,SEVERE
1777428315.6189902,DISCOVERY,SEVERE
1777428330.4769475,MMCS,FATAL
1777428335.8313959,KERNEL,ERROR
1777428343.3271708,MMCS,FATAL
1777428349.5366564,HARDWARE,ERROR
1777434671.3876693,MMCS,WARNING
1777434678.9889243,MMCS,ERROR
1777434685.1874428,MMCS,ERROR
1777434687.7810614,HARDWARE,WARNING
1777434695.8132243,KERNEL,WARNING
1777434698.6872082,APP,INFO
1777434704.5909266,KERNEL,SEVERE
1777434764.8283997,DISCOVERY,ERROR
1777434827.398615,APP,INFO
1777434888.7488668,KERNEL,SEVERE
1777444264.3264074,MMCS,INFO
1777444271.1099539,HARDWARE,FATAL
1777444288.1384108,DISCOVERY,INFO
1777444305.1652362,HARDWARE,WARNING
1777444322.195439,APP,ERROR
1777444337.551964,DISCOVERY,ERROR
1777444355.8772266,HARDWARE,INFO
1777444374.1842258,KERNEL,INFO
1777444392.075415,KERNEL,FATAL
1777444409.9998133,HARDWARE,FATAL
1777450264.880455,KERNEL,ERROR
1777450282.9888396,KERNEL,INFO
1777450292.5144289,HARDWARE,FATAL
1777450432.6357834,HARDWARE,FATAL
1777450451.9496934,KERNEL,INFO
1777450463.9236848,KERNEL,ERROR
1777450476.5392416,DISCOVERY,INFO
1777450492.706971,KERNEL,ERROR
1777450494.5993211,MMCS,WARNING
1777450495.8022735,MMCS,INFO
1777455944.6005278,HARDWARE,FATAL
1777455947.7176898,MMCS,INFO
1777455948.4298587,KERNEL,WARNING
1777455949.7455845,DISCOVERY,WARNING
1777455951.8755524,HARDWARE,ERROR
1777455953.4476087,MMCS,INFO
1777455956.9027278,APP,INFO
1777455960.63073,MMCS,INFO
1777455961.777289,DISCOVERY,ERROR
1777455962.4769423,HARDWARE,SEVERE
1777465801.387909,HARDWARE,INFO
1777465811.1066225,HARDWARE,SEVERE
1777465849.7828364,DISCOVERY,INFO
1777465890.0363336,HARDWARE,SEVERE
1777465929.8906868,HARDWARE,ERROR
1777465969.218566,HARDWARE,FATAL
1777465979.852921,KERNEL,ERROR
1777465997.916091,DISCOVERY,ERROR
1777466017.4463708,DISCOVERY,WARNING
1777466030.8971145,MMCS,WARNING
1777476037.7358859,HARDWARE,WARNING
1777476042.7073588,MMCS,FATAL
1777476187.3867362,MMCS,FATAL
1777476204.5688646,DISCOVERY,INFO
1777476218.7837553,HARDWARE,WARNING
1777476232.122145,KERNEL,WARNING
1777476242.0112975,APP,INFO
1777476258.0495,HARDWARE,INFO
1777476268.517887,HARDWARE,ERROR
1777476288.5045066,DISCOVERY,INFO
1777482374.4610593,KERNEL,INFO
1777482381.7009408,MMCS,FATAL
1777482494.388504,MMCS,WARNING
1777482607.9202764,MMCS,FATAL
1777482613.6778429,MMCS,ERROR
1777482629.940117,DISCOVERY,INFO
1777482633.321442,HARDWARE,INFO
1777482636.6341364,DISCOVERY,ERROR
1777482637.7447,HARDWARE,WARNING
1777482656.63569,APP,INFO
1777488071.9906902,HARDWARE,ERROR
1777488091.8501565,MMCS,WARNING
1777488095.515808,MMCS,INFO
1777488102.4657822,DISCOVERY,WARNING
1777488108.2778895,HARDWARE,INFO
1777488113.3678033,DISCOVERY,WARNING
1777488114.7155573,KERNEL,FATAL
1777488135.0077221,APP,INFO
1777488154.7186675,DISCOVERY,WARNING
1777488175.0003438,KERNEL,FATAL
1777494118.9674618,DISCOVERY,WARNING
1777494131.835871,APP,WARNING
1777494144.0669122,KERNEL,WARNING
