timestamp,component,level
1777370258.8894696,DISCOVERY,ERROR
1777370286.841106,APP,ERROR
1777370331.207583,KERNEL,WARNING
1777370336.8844192,DISCOVERY,WARNING
1777370421.935861,KERNEL,ERROR
1777370430.8267577,HARDWARE,INFO
1777370492.1519718,MMCS,INFO
1777370539.0104241,DISCOVERY,INFO
1777370610.9604645,KERNEL,ERROR
1777370616.7544084,MMCS,INFO
1777376570.6378706,DISCOVERY,WARNING
1777376613.3241615,MMCS,WARNING
1777376687.4689798,DISCOVERY,SEVERE
1777376740.4921937,DISCOVERY,SEVERE
1777376833.2499647,KERNEL,INFO
1777376871.9694219,HARDWARE,INFO
1777376945.672328,MMCS,INFO
1777376948.716639,HARDWARE,INFO
1777376983.4664948,KERNEL,INFO
1777377042.8597507,HARDWARE,SEVERE
1777382943.4845803,HARDWARE,ERROR
1777382954.652784,KERNEL,ERROR
1777382991.2609725,MMCS,WARNING
1777383025.0517979,DISCOVERY,INFO
1777383039.5109978,HARDWARE,INFO
1777383090.2235758,APP,WARNING
1777383135.6204174,HARDWARE,INFO
1777383158.2344358,HARDWARE,WARNING
1777383207.0563874,DISCOVERY,WARNING
1777383259.425304,APP,WARNING
1777389408.1398673,DISCOVERY,INFO
1777389809.9124243,DISCOVERY,INFO
1777390201.597031,HARDWARE,WARNING
1777390653.2710676,HARDWARE,INFO
1777391176.5643413,MMCS,INFO
1777391705.8376408,HARDWARE,ERROR
1777392033.6754909,APP,INFO
1777392524.5876276,HARDWARE,INFO
1777392884.106521,DISCOVERY,INFO
1777393254.4057555,HARDWARE,INFO
1777402089.0319362,DISCOVERY,INFO
1777402417.8099198,MMCS,INFO
1777402827.9739032,APP,INFO
1777403157.7747188,APP,INFO
1777403497.7196283,HARDWARE,WARNING
1777403842.078962,KERNEL,INFO
1777404422.0061712,HARDWARE,INFO
1777404838.0375104,HARDWARE,FATAL
1777405325.7273266,KERNEL,INFO
1777405864.826897,HARDWARE,INFO
1777411646.361194,MMCS,ERROR
1777411714.972256,HARDWARE,ERROR
1777411803.8645363,APP,WARNING
1777411900.6894405,KERNEL,ERROR
1777411981.5161839,DISCOVERY,INFO
1777412025.2349672,MMCS,WARNING
1777412113.80666,DISCOVERY,INFO
1777412188.5353632,MMCS,INFO
1777412227.2010794,KERNEL,ERROR
1777412240.249035,HARDWARE,INFO
1777419655.2433107,APP,INFO
1777419695.126768,HARDWARE,WARNING
1777419704.4695907,DISCOVERY,SEVERE
1777419725.2640707,DISCOVERY,SEVERE
1777419774.8403065,APP,INFO
1777419851.140037,DISCOVERY,INFO
1777419907.6380422,APP,INFO
1777419921.94699,APP,INFO
1777419930.156454,KERNEL,ERROR
1777420008.7513697,DISCOVERY,INFO
1777425954.3685555,HARDWARE,SEVERE
1777426044.991696,APP,INFO
1777426125.1921809,KERNEL,INFO
1777426202.4678307,KERNEL,INFO
1777426240.5816522,KERNEL,INFO
1777426313.2115629,MMCS,INFO
1777426378.576846,MMCS,SEVERE
1777426419.5465498,HARDWARE,SEVERE
1777426487.4345236,DISCOVERY,WARNING
1777426505.4722228,APP,INFO
1777432767.6426651,HARDWARE,SEVERE
1777432820.8684564,APP,FATAL
1777432854.8214636,HARDWARE,INFO
1777432882.0827632,KERNEL,INFO
1777432913.7262459,HARDWARE,INFO
1777432946.1913314,HARDWARE,INFO
1777432991.0890403,KERNEL,INFO
1777433087.317877,APP,INFO
1777433094.3061206,KERNEL,INFO
1777433161.700507,DISCOVERY,WARNING
1777439114.3008986,MMCS,INFO
1777439510.0484798,MMCS,WARNING
1777440065.0601547,DISCOVERY,INFO
1777440495.8407636,DISCOVERY,INFO
1777440926.709436,APP,INFO
1777441235.5675979,KERNEL,INFO
1777441547.169639,HARDWARE,WARNING
1777441877.7510543,DISCOVERY,INFO
1777442375.3986533,DISCOVERY,INFO
1777442849.1007557,APP,INFO
1777448593.7358303,DISCOVERY,WARNING
1777448635.9679053,HARDWARE,ERROR
1777448652.9368467,MMCS,ERROR
1777448663.8790295,HARDWARE,INFO
1777448719.2518208,MMCS,INFO
1777448770.6080456,MMCS,INFO
1777448829.0288794,APP,INFO
1777448859.3229392,HARDWARE,ERROR
1777448910.1133468,DISCOVERY,ERROR
1777448911.3859634,APP,WARNING
1777454242.9764705,KERNEL,ERROR
1777454304.3261137,DISCOVERY,INFO
1777454331.214485,DISCOVERY,INFO
1777454338.639623,KERNEL,INFO
1777454356.3327396,DISCOVERY,SEVERE
1777454379.2569866,KERNEL,SEVERE
1777454413.9052286,APP,FATAL
1777454428.3135297,HARDWARE,INFO
1777454472.8843853,KERNEL,INFO
1777454515.042916,MMCS,INFO
1777464139.7016854,KERNEL,INFO
1777464155.3283346,MMCS,WARNING
1777464171.4101686,DISCOVERY,ERROR
1777464193.7064154,HARDWARE,ERROR
1777464196.7941759,DISCOVERY,WARNING
1777464238.9414968,MMCS,ERROR
1777464280.1295946,KERNEL,ERROR
1777464356.0777109,HARDWARE,ERROR
1777464446.5404756,HARDWARE,INFO
1777464478.481034,HARDWARE,INFO
1777469964.668403,APP,INFO
1777470553.2140105,MMCS,WARNING
1777471120.738787,KERNEL,INFO
1777471588.6332445,KERNEL,WARNING
1777472151.3264956,DISCOVERY,INFO
1777472568.1403675,APP,INFO
1777473148.3580012,DISCOVERY,SEVERE
1777473561.642749,HARDWARE,WARNING
1777474135.8984509,MMCS,INFO
1777474643.801037,DISCOVERY,INFO
1777480292.8072424,MMCS,INFO
1777480354.465772,KERNEL,ERROR
1777480453.3840349,APP,INFO
1777480538.3058617,HARDWARE,ERROR
1777480615.978625,HARDWARE,INFO
1777480686.3145456,HARDWARE,WARNING
1777480766.2085268,DISCOVERY,INFO
1777480778.1483216,DISCOVERY,INFO
1777480838.3805845,APP,ERROR
1777480924.1602356,MMCS,INFO
1777486455.792299,APP,WARNING
1777486478.5519485,APP,INFO
1777486528.182785,MMCS,WARNING
1777486530.889356,DISCOVERY,WARNING
1777486534.5890892,KERNEL,WARNING
1777486589.753809,DISCOVERY,ERROR
1777486620.1042411,DISCOVERY,WARNING
1777486628.4899874,KERNEL,ERROR
1777486636.5430758,MMCS,ERROR
1777486637.7564924,KERNEL,INFO
1777492215.6508458,DISCOVERY,ERROR
1777492238.1275804,KERNEL,INFO
1777492263.5277264,KERNEL,INFO
1777492304.8767138,DISCOVERY,WARNING
1777492404.8017604,MMCS,INFO
1777492445.5407937,KERNEL,WARNING
1777492509.0394044,HARDWARE,ERROR
1777492602.8855646,KERNEL,ERROR
1777492609.7644172,DISCOVERY,INFO
1777492667.323965,MMCS,ERROR
1777498412.8193963,DISCOVERY,INFO
1777498472.6057959,MMCS,INFO
1777498505.8832984,KERNEL,INFO
1777498596.8964422,HARDWARE,FATAL
1777498627.331479,KERNEL,INFO
1777498651.3618,APP,FATAL
1777498679.4466302,KERNEL,SEVERE
1777498689.541808,HARDWARE,INFO
1777498783.218521,DISCOVERY,INFO
1777498800.3187578,MMCS,WARNING
1777505131.5422747,KERNEL,INFO
1777505509.581922,HARDWARE,INFO
1777506093.5165446,KERNEL,INFO
1777506459.5309858,MMCS,INFO
1777506958.7710679,DISCOVERY,INFO
1777507281.8876574,HARDWARE,INFO
1777507837.8036523,APP,SEVERE
1777508266.201108,DISCOVERY,FATAL
1777508585.9737678,KERNEL,WARNING
1777509085.8226485,DISCOVERY,INFO
1777514796.2739322,APP,SEVERE
1777514833.8005092,KERNEL,FATAL
1777515378.756877,APP,SEVERE
1777515410.7093935,DISCOVERY,FATAL
1777515453.5296998,HARDWARE,SEVERE
1777515797.9015641,APP,SEVERE
1777516254.4594834,DISCOVERY,FATAL
1777516810.0222275,HARDWARE,FATAL
1777516834.489221,MMCS,FATAL
1777517283.1964617,KERNEL,SEVERE
1777525331.7031286,APP,WARNING
1777525426.1372626,APP,INFO
1777525430.1528916,MMCS,INFO
1777525513.2237506,MMCS,WARNING
1777525514.3969543,HARDWARE,ERROR
1777525564.658479,DISCOVERY,ERROR
1777525605.0892382,MMCS,ERROR
1777525694.369415,HARDWARE,INFO
1777525772.2245996,APP,ERROR
1777525847.8548942,HARDWARE,WARNING
1777531427.8749347,MMCS,INFO
1777531448.8305655,DISCOVERY,ERROR
1777531531.283133,MMCS,FATAL
1777531546.6270404,KERNEL,WARNING
1777531584.3787923,MMCS,ERROR
1777531676.813989,DISCOVERY,INFO
1777531710.4220743,DISCOVERY,WARNING
1777531783.252027,DISCOVERY,SEVERE
1777531864.8457928,DISCOVERY,SEVERE
1777531962.063761,APP,FATAL
1777539863.4832265,MMCS,SEVERE
1777539905.5760865,DISCOVERY,FATAL
1777539922.5083687,APP,SEVERE
