timestamp,component,level
# negative
0,KERNEL,INFO
10.0,KERNEL,SEVERE
11.0,APP,FATAL
12.0,KERNEL,FATAL
100.0,MMCS,INFO
150.0,KERNEL,FATAL
200,APP,WARNING
250,APP,SEVERE
255,KERNEL,INFO
310,KERNEL,FATAL
# negative
0,KERNEL,SEVERE
100,KERNEL,INFO
150,APP,INFO
150,KERNEL,FATAL
401,KERNEL,SEVERE
420,APP,INFO
425,KERNEL,SEVERE
601,MMCS,INFO
610,DISCOVERY,WARNING
660,APP,INFO
# positive (time diff b/w each of these logs > 300 sec) (SHOULD BE +ve, but fails to classify this as -ve)
1776869949.738351,KERNEL,SEVERE
1776870999.3138626,KERNEL,SEVERE
1776871500.2453501,KERNEL,SEVERE
1776872001.5535774,KERNEL,FATAL
1776873000.628869,KERNEL,SEVERE
1776873501.3830795,KERNEL,SEVERE
1776874000.9616287,KERNEL,SEVERE
1776874590.150457,KERNEL,SEVERE
1776875000.8249,KERNEL,FATAL
1776876600.8249,KERNEL,FATAL
# positive (because the severity errors for same component are separated by > 300 seconds)
1776869949.738351,KERNEL,SEVERE
1776869999.3138626,APP,SEVERE
1776870175.2453501,DISCOVERY,SEVERE
1776870445.5535774,HARDWARE,FATAL
1776870545.628869,MMCS,SEVERE
1776870561.3830795,KERNEL,SEVERE
1776870816.9616287,DISCOVERY,SEVERE
1776870856.150457,APP,SEVERE
1776871114.8249,MMCS,FATAL
1776871262.4327233,HARDWARE,FATAL
# negative
0,HARDWARE,FATAL
1,DISCOVERY,WARNING
2,HARDWARE,INFO
3,MMCS,INFO
4,HARDWARE,INFO
1000,HARDWARE,FATAL
2600,HARDWARE,INFO
2700,DISCOVERY,INFO
3900,HARDWARE,FATAL
3900,KERNEL,WARNING
